asset,klasse,regel,parameter,richtung,t_entdeckung,alpha_pa_entdeckung,t_bestaetigung,alpha_pa_bestaetigung,p_entdeckung,stufe1,p_bestaetigung,bestanden
SPY,ETF,sma_trend,10,long,1.367,0.03836,-2.074,-0.04002,0.08581265275505767,False,0.9809603445700383,False
SPY,ETF,sma_trend,10,long/short,1.367,0.07672,-2.05,-0.07908,0.08581265275505767,False,0.9798177845942956,False
SPY,ETF,sma_trend,20,long,1.786,0.04933,-0.837,-0.01591,0.037049629068190315,False,0.7987037159806499,False
SPY,ETF,sma_trend,20,long/short,1.786,0.09867,-0.829,-0.03148,0.037049629068190315,False,0.7964477963863472,False
SPY,ETF,sma_trend,50,long,1.417,0.03933,-0.042,-0.00079,0.07824146373654295,False,0.5167506509407646,False
SPY,ETF,sma_trend,50,long/short,1.417,0.07866,-0.02,-0.00074,0.07824146373654295,False,0.507978313716902,False
SPY,ETF,sma_trend,100,long,1.732,0.04918,0.778,0.01486,0.04163678122012171,False,0.21828450660712373,False
SPY,ETF,sma_trend,100,long/short,1.732,0.09837,0.797,0.03043,0.04163678122012171,False,0.21272551566012465,False
SPY,ETF,sma_trend,200,long,1.792,0.05178,1.645,0.03193,0.03656648300520304,False,0.04998490553912127,False
SPY,ETF,sma_trend,200,long/short,1.792,0.10357,1.711,0.06626,0.03656648300520304,False,0.04354055641354382,False
SPY,ETF,sma_cross,"(5, 20)",long,2.643,0.0739,-1.088,-0.02071,0.004108751764369645,False,0.8617024462329783,False
SPY,ETF,sma_cross,"(5, 20)",long/short,2.643,0.14781,-1.08,-0.04109,0.004108751764369645,False,0.8599289099112309,False
SPY,ETF,sma_cross,"(10, 50)",long,1.429,0.04045,0.898,0.01731,0.07650211671801599,False,0.1845927747322489,False
SPY,ETF,sma_cross,"(10, 50)",long/short,1.429,0.08089,0.921,0.03546,0.07650211671801599,False,0.1785252135114881,False
SPY,ETF,sma_cross,"(20, 100)",long,0.8,0.02335,1.011,0.01967,0.21185539858339675,False,0.15600821489600847,False
SPY,ETF,sma_cross,"(20, 100)",long/short,0.8,0.0467,1.031,0.04004,0.21185539858339675,False,0.15127040989963325,False
SPY,ETF,sma_cross,"(50, 200)",long,-0.366,-0.00983,2.648,0.05223,0.6428174622141614,False,0.004048476260604561,False
